DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,EXPOSICION_NORMALIZACION_BASE_100,CATEGORIA_EXPOSICION
Liberia           ,50101,41955,133,61,72,16.273291925465838,Alto-medio
Liberia           ,50101,41969,57,28,29,6.832298136645963,Medio
Liberia           ,50101,41971,73,34,39,8.819875776397515,Medio
Liberia           ,50101,41972,77,44,33,9.316770186335404,Medio
Liberia           ,50101,41988,69,30,39,8.322981366459627,Medio
Liberia           ,50101,42017,58,32,26,6.956521739130435,Medio
Liberia           ,50101,42029,57,27,30,6.832298136645963,Medio
Liberia           ,50101,42035,93,46,47,11.304347826086957,Medio
Liberia           ,50101,42040,60,31,29,7.204968944099378,Medio
Liberia           ,50101,42049,57,27,30,6.832298136645963,Medio
Liberia           ,50101,42064,48,24,24,5.714285714285714,Bajo-medio
Liberia           ,50101,42067,95,49,46,11.5527950310559,Medio
Liberia           ,50101,42074,105,43,62,12.79503105590062,Alto-medio
Liberia           ,50101,42090,172,80,92,21.11801242236025,Alto-medio
Liberia           ,50101,42157,127,64,63,15.527950310559005,Alto-medio
Liberia           ,50101,42158,66,40,26,7.950310559006211,Medio
Liberia           ,50101,42169,66,31,35,7.950310559006211,Medio
Liberia           ,50101,42188,30,14,16,3.4782608695652173,Bajo-medio
Liberia           ,50101,42201,61,25,36,7.329192546583851,Medio
Liberia           ,50101,42220,164,74,90,20.124223602484474,Alto-medio
Liberia           ,50101,42223,142,61,81,17.391304347826086,Alto-medio
Liberia           ,50101,42244,136,70,66,16.645962732919255,Alto-medio
Liberia           ,50101,42258,83,39,44,10.062111801242237,Medio
Liberia           ,50101,42271,79,39,40,9.565217391304348,Medio
Liberia           ,50101,42275,234,113,121,28.819875776397513,Alto
Liberia           ,50101,42283,127,55,72,15.527950310559005,Alto-medio
Liberia           ,50101,42287,39,15,24,4.596273291925466,Bajo-medio
Liberia           ,50101,42316,59,28,31,7.080745341614906,Medio
Liberia           ,50101,42337,80,38,42,9.68944099378882,Medio
Liberia           ,50101,42341,103,48,55,12.546583850931677,Alto-medio
Liberia           ,50101,42343,56,28,28,6.70807453416149,Medio
Liberia           ,50101,42382,62,22,40,7.453416149068323,Medio
Liberia           ,50101,42399,36,11,25,4.22360248447205,Bajo-medio
Liberia           ,50101,42402,36,14,22,4.22360248447205,Bajo-medio
Liberia           ,50101,42413,182,93,89,22.36024844720497,Alto
Liberia           ,50101,42436,136,70,66,16.645962732919255,Alto-medio
Liberia           ,50101,42446,83,40,43,10.062111801242237,Medio
Liberia           ,50101,42451,49,22,27,5.838509316770186,Bajo-medio
Liberia           ,50101,42472,143,66,77,17.51552795031056,Alto-medio
Liberia           ,50101,42478,22,10,12,2.484472049689441,Bajo
Liberia           ,50101,42487,308,145,163,38.01242236024845,Alto
Liberia           ,50101,42499,29,15,14,3.354037267080745,Bajo-medio
Liberia           ,50101,42550,82,40,42,9.937888198757763,Medio
Liberia           ,50101,42557,109,50,59,13.291925465838508,Alto-medio
Liberia           ,50101,42562,5,3,2,0.37267080745341613,Bajo
Liberia           ,50101,42566,55,26,29,6.583850931677018,Medio
Liberia           ,50101,42574,57,30,27,6.832298136645963,Medio
Liberia           ,50101,42577,137,62,75,16.77018633540373,Alto-medio
Liberia           ,50101,42594,70,34,36,8.4472049689441,Medio
Liberia           ,50101,42596,14,7,7,1.4906832298136645,Bajo
Liberia           ,50101,42628,66,27,39,7.950310559006211,Medio
Liberia           ,50101,42652,234,123,111,28.819875776397513,Alto
Liberia           ,50101,42669,24,13,11,2.732919254658385,Bajo
Liberia           ,50101,42671,82,43,39,9.937888198757763,Medio
Liberia           ,50101,42678,63,24,39,7.577639751552795,Medio
Liberia           ,50101,42697,51,28,23,6.086956521739131,Bajo-medio
Liberia           ,50101,42700,189,88,101,23.229813664596275,Alto
Liberia           ,50101,42707,154,66,88,18.88198757763975,Alto-medio
Liberia           ,50101,42716,466,227,239,57.639751552795026,Alto
Liberia           ,50101,42749,52,26,26,6.211180124223603,Bajo-medio
Liberia           ,50101,42767,53,24,29,6.3354037267080745,Bajo-medio
Liberia           ,50101,42769,268,138,130,33.04347826086956,Alto
Liberia           ,50101,42770,27,15,12,3.1055900621118013,Bajo-medio
Liberia           ,50101,42771,16,10,6,1.7391304347826086,Bajo
Liberia           ,50101,42778,166,80,86,20.372670807453417,Alto-medio
Liberia           ,50101,42780,107,43,64,13.043478260869565,Alto-medio
Liberia           ,50101,42791,57,25,32,6.832298136645963,Medio
Liberia           ,50101,42793,79,37,42,9.565217391304348,Medio
Liberia           ,50101,42830,146,78,68,17.888198757763977,Alto-medio
Liberia           ,50101,42833,53,35,18,6.3354037267080745,Bajo-medio
Liberia           ,50101,42836,398,191,207,49.192546583850934,Alto
Liberia           ,50101,42857,8,4,4,0.7453416149068323,Bajo
Liberia           ,50101,42864,90,39,51,10.93167701863354,Medio
Liberia           ,50101,42878,536,271,265,66.33540372670808,Alto
Liberia           ,50101,42882,13,5,8,1.3664596273291925,Bajo
Liberia           ,50101,42884,57,25,32,6.832298136645963,Medio
Liberia           ,50101,42925,122,60,62,14.906832298136646,Alto-medio
Liberia           ,50101,42941,62,32,30,7.453416149068323,Medio
Liberia           ,50101,43000,28,17,11,3.229813664596273,Bajo-medio
Liberia           ,50101,43003,88,43,45,10.683229813664596,Medio
Liberia           ,50101,43006,6,3,3,0.4968944099378882,Bajo
Liberia           ,50101,43013,83,36,47,10.062111801242237,Medio
Liberia           ,50101,43017,119,58,61,14.534161490683232,Alto-medio
Liberia           ,50101,43043,17,6,11,1.8633540372670807,Bajo
Liberia           ,50101,43080,81,40,41,9.813664596273291,Medio
Liberia           ,50101,43102,87,47,40,10.559006211180124,Medio
Liberia           ,50101,43124,22,10,12,2.484472049689441,Bajo
Liberia           ,50101,43141,118,54,64,14.409937888198757,Alto-medio
Liberia           ,50101,43145,20,11,9,2.236024844720497,Bajo
Liberia           ,50101,43168,10,5,5,0.9937888198757764,Bajo
Liberia           ,50101,43177,118,53,65,14.409937888198757,Alto-medio
Liberia           ,50101,43179,55,27,28,6.583850931677018,Medio
Liberia           ,50101,43181,64,28,36,7.7018633540372665,Medio
Liberia           ,50101,43189,10,4,6,0.9937888198757764,Bajo
Liberia           ,50101,43194,56,27,29,6.70807453416149,Medio
Liberia           ,50101,43221,36,20,16,4.22360248447205,Bajo-medio
Liberia           ,50101,43224,97,47,50,11.801242236024844,Medio
Liberia           ,50101,43248,72,32,40,8.695652173913043,Medio
Liberia           ,50101,43268,65,35,30,7.82608695652174,Medio
Liberia           ,50101,43272,32,17,15,3.7267080745341614,Bajo-medio
Liberia           ,50101,43278,19,10,9,2.111801242236025,Bajo
Liberia           ,50101,43324,74,29,45,8.944099378881988,Medio
Liberia           ,50101,43336,392,191,201,48.4472049689441,Alto
Liberia           ,50101,43346,59,27,32,7.080745341614906,Medio
Liberia           ,50101,43393,32,13,19,3.7267080745341614,Bajo-medio
Liberia           ,50101,43403,43,20,23,5.093167701863354,Bajo-medio
Liberia           ,50101,43438,116,55,61,14.161490683229813,Alto-medio
Liberia           ,50101,43439,188,89,99,23.1055900621118,Alto
Liberia           ,50101,43450,91,47,44,11.055900621118013,Medio
Liberia           ,50101,43454,106,56,50,12.919254658385093,Alto-medio
Liberia           ,50101,43486,110,53,57,13.41614906832298,Alto-medio
Liberia           ,50101,43489,50,18,32,5.962732919254658,Bajo-medio
Liberia           ,50101,43503,97,45,52,11.801242236024844,Medio
Liberia           ,50101,43513,24,9,15,2.732919254658385,Bajo
Liberia           ,50101,43514,141,68,73,17.267080745341616,Alto-medio
Liberia           ,50101,43516,123,57,66,15.031055900621118,Alto-medio
Liberia           ,50101,43521,63,27,36,7.577639751552795,Medio
Liberia           ,50101,43560,53,22,31,6.3354037267080745,Bajo-medio
Liberia           ,50101,43562,79,36,43,9.565217391304348,Medio
Liberia           ,50101,43572,116,52,64,14.161490683229813,Alto-medio
Liberia           ,50101,43577,55,27,28,6.583850931677018,Medio
Liberia           ,50101,43584,53,24,29,6.3354037267080745,Bajo-medio
Liberia           ,50101,43586,65,31,34,7.82608695652174,Medio
Liberia           ,50101,43592,43,21,22,5.093167701863354,Bajo-medio
Liberia           ,50101,43611,43,17,26,5.093167701863354,Bajo-medio
Liberia           ,50101,43616,57,36,21,6.832298136645963,Medio
Liberia           ,50101,43634,137,59,78,16.77018633540373,Alto-medio
Liberia           ,50101,43653,51,29,22,6.086956521739131,Bajo-medio
Liberia           ,50101,43656,70,34,36,8.4472049689441,Medio
Liberia           ,50101,43659,60,22,38,7.204968944099378,Medio
Liberia           ,50101,43662,70,35,35,8.4472049689441,Medio
Liberia           ,50101,43664,66,37,29,7.950310559006211,Medio
Liberia           ,50101,43713,122,59,63,14.906832298136646,Alto-medio
Liberia           ,50101,43717,95,36,59,11.5527950310559,Medio
Liberia           ,50101,43720,83,40,43,10.062111801242237,Medio
Liberia           ,50101,43722,47,22,25,5.590062111801243,Bajo-medio
Liberia           ,50101,43733,148,84,64,18.13664596273292,Alto-medio
Liberia           ,50101,43734,88,47,41,10.683229813664596,Medio
Liberia           ,50101,43763,121,61,60,14.782608695652174,Alto-medio
Liberia           ,50101,43767,69,33,36,8.322981366459627,Medio
Liberia           ,50101,43771,177,89,88,21.73913043478261,Alto
Liberia           ,50101,43795,87,45,42,10.559006211180124,Medio
Liberia           ,50101,43815,132,62,70,16.149068322981368,Alto-medio
Liberia           ,50101,43822,108,50,58,13.167701863354036,Alto-medio
Liberia           ,50101,43835,118,57,61,14.409937888198757,Alto-medio
Liberia           ,50101,43869,282,153,129,34.78260869565217,Alto
Liberia           ,50101,43874,28,9,19,3.229813664596273,Bajo-medio
Liberia           ,50101,43884,81,38,43,9.813664596273291,Medio
Liberia           ,50101,43908,62,31,31,7.453416149068323,Medio
Liberia           ,50101,43910,55,33,22,6.583850931677018,Medio
Liberia           ,50101,43927,19,8,11,2.111801242236025,Bajo
Liberia           ,50101,43950,203,94,109,24.96894409937888,Alto
Liberia           ,50101,43984,115,54,61,14.037267080745341,Alto-medio
Liberia           ,50101,43992,89,46,43,10.807453416149068,Medio
Liberia           ,50101,44006,117,52,65,14.285714285714285,Alto-medio
Liberia           ,50101,44010,89,39,50,10.807453416149068,Medio
Liberia           ,50101,44014,98,44,54,11.925465838509316,Medio
