DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,INDICE_VULNERABILIDAD_INTEGRADO,EXPOSICION_NORMALIZACION_BASE_100,AMENAZA_SECA_NORMALIZACION_BASE_100,SUMA_RIESGO_SECO,RIESGO_SECO_NORMALIZACION_BASE_100,CATEGORIA_RIESGO_SECO
Liberia           ,50101,45396,83,43,40,17.213829051873578,10.062111801242237,73.701,100.9769408531158,26.962350920200933,Medio
Liberia           ,50101,45401,127,68,59,18.72218961665254,15.527950310559005,74.25,108.50013992721153,30.151012758688534,Alto-medio
Liberia           ,50101,45423,46,17,29,14.326652839051986,5.46583850931677,81.468,101.26049134836876,27.082532060510054,Medio
Liberia           ,50101,45424,57,32,25,6.386804037728789,6.832298136645963,76.18,89.39910217437476,22.05515492505777,Bajo-medio
Liberia           ,50101,45453,75,40,35,5.805259069375751,9.06832298136646,77.593,92.46658205074222,23.35528747847917,Bajo-medio
Liberia           ,50101,45481,50,19,31,7.974861384235073,5.962732919254658,76.109,90.04659430348973,22.329590497278506,Bajo-medio
Liberia           ,50101,45529,41,20,21,19.997067879252995,4.84472049689441,74.296,99.13778837614741,26.18283740996274,Medio
Liberia           ,50101,45547,107,64,43,11.34034820547874,13.043478260869565,78.914,103.29782646634831,27.946044069022584,Medio
Liberia           ,50101,45589,34,12,22,18.653203059511675,3.9751552795031055,80.759,103.38735833901478,27.98399160475681,Medio
Liberia           ,50101,45593,32,14,18,22.736498007803878,3.7267080745341614,74.315,100.77820608233804,26.878118405107504,Medio
Liberia           ,50101,45606,34,15,19,13.701859507135966,3.9751552795031055,78.191,95.86801478663907,24.796963905530305,Bajo-medio
Liberia           ,50101,45647,127,66,61,32.76303613063494,15.527950310559005,74.601,122.89198644119395,36.25090873545724,Alto
Liberia           ,50101,45682,94,45,49,27.09953655054011,11.428571428571429,72.838,111.36610797911153,31.365735759823078,Alto-medio
Liberia           ,50101,45710,138,67,71,16.073056617903863,16.8944099378882,75.386,108.35346655579205,30.088846148771488,Alto-medio
Liberia           ,50101,45718,52,25,27,22.129553037320825,6.211180124223603,81.672,110.01273316154442,30.79211613452224,Alto-medio
Liberia           ,50101,45796,103,57,46,19.076257873146776,12.546583850931677,74.34,105.96284172407846,29.075594459437156,Alto-medio
Liberia           ,50101,45797,138,71,67,25.882343111902117,16.8944099378882,74.715,117.49175304979032,33.96205289574054,Alto-medio
Liberia           ,50101,45838,19,12,7,28.04966657686806,2.111801242236025,71.566,101.72746781910408,27.280457176812302,Medio
Liberia           ,50101,45841,95,47,48,9.232306967224407,11.5527950310559,75.003,95.78810199828031,24.763093359750908,Bajo-medio
Liberia           ,50101,45891,64,34,30,18.61274301819079,7.7018633540372665,88.4,114.71460637222806,32.784976289976285,Alto-medio
Liberia           ,50101,45892,62,34,28,29.156113860873496,7.453416149068323,69.777,106.38653000994182,29.255172143776058,Alto-medio
Liberia           ,50101,45899,62,30,32,13.303362292411459,7.453416149068323,78.28,99.03677844147978,26.140024967966912,Medio
Liberia           ,50101,45917,40,17,23,24.24513859330507,4.720496894409938,70.143,99.108635487715,26.170481136798816,Medio
Liberia           ,50101,45923,131,63,68,18.319093173919693,16.024844720496894,74.071,108.41493789441658,30.114900399058136,Alto-medio
Liberia           ,50101,45927,258,138,120,46.05190500292722,31.801242236024844,73.625,151.47814723895206,48.366977863355174,Alto
Liberia           ,50101,45934,73,35,38,10.033396287182148,8.819875776397515,77.349,96.20227206357967,24.93863680461485,Bajo-medio
